typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1679564324560",,"1679564324560","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","5848946920",,"5848946920","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false",,"243859786","243859786","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false",,"54703","54703","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"13445973387","13445973387","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false",,"55424932","55424932","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"49196925849","49196925849","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"133796642","133796642","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","74","Copper and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"5621492269","5621492269","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","74","Copper and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"4140281","4140281","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","78","Lead and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"160390148","160390148","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","78","Lead and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false",,"199547","199547","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","79","Zinc and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"524267140","524267140","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","79","Zinc and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false",,"13576","13576","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","81","Metals; n.e.c., cermets and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"2831494409","2831494409","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","81","Metals; n.e.c., cermets and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false",,"9836855","9836855","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"2273468224113","2273468224113","0","false","true",
"C","A","20150101","2015","52","2015","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"8441240875","8441240875","0","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","94479040429","0","94479040429","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","513118663","0","513118663","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","9024571475","0","9024571475","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1133224360","0","1133224360","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","16917769452","0","16917769452","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","724346617","0","724346617","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","74","Copper and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","33258729331","0","33258729331","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","74","Copper and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1011513671","0","1011513671","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","78","Lead and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","52807718","0","52807718","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","78","Lead and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","58538","0","58538","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","79","Zinc and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1171409614","0","1171409614","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","79","Zinc and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","198398682","0","198398682","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","81","Metals; n.e.c., cermets and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1804134009","0","1804134009","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","81","Metals; n.e.c., cermets and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4604588","0","4604588","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1587920688162","0","1587920688162","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4805078580","0","4805078580","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","270468805","270468805","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","90444","90444","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","X","Export","0","W00","World","0","W00","World","H4","HS","true","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","12134627239","12134627239","4","false","true",
